"cancer","gene","CGC","NCG6.0","mutation","CNV","methylation","miRNA","survival","multiomics"
"LUAD","WT1","1","1","0","0","0","0","0","0"
"LUAD","XKR6","0","0","0","0","1","0","1","0"
"LUAD","ZBTB10","0","0","0","1","0","0","0","1"
"LUAD","ZBTB21","0","0","3","0","0","0","0","0"
"LUAD","ZC3H4","0","0","3","0","0","0","0","0"
"LUAD","ZFPM2","0","0","3","0","0","0","0","0"
"LUAD","ZFR","0","0","3","0","0","0","0","1"
"LUAD","ZFY","0","0","0","-1","0","0","0","0"
"LUAD","ZNF100","0","0","3","0","0","0","0","0"
"LUAD","ZNF135","0","0","0","0","1","0","0","0"
"LUAD","ZNF256","0","0","0","0","1","0","0","0"
"LUAD","ZNF329","0","0","0","0","1","0","0","1"
"LUAD","ZNF415","0","0","0","0","1","0","0","0"
"LUAD","ZNF431","0","0","3","0","0","0","0","0"
"LUAD","ZNF454","0","0","3","0","0","0","0","0"
"LUAD","ZNF471","0","1","0","0","1","0","0","0"
"LUAD","ZNF548","0","0","3","0","0","0","0","0"
"LUAD","ZNF572","0","1","0","0","-1","0","0","0"
"LUAD","ZNF598","0","0","0","0","0","0","1","0"
"LUAD","ZNF677","0","1","0","0","1","0","1","0"
"LUAD","ZNF678","0","0","3","0","0","0","0","0"
"LUAD","ZNF702P","0","0","0","0","1","0","0","0"
"LUAD","ZNF704","0","0","3","0","0","0","0","0"
"LUAD","ZNF91","0","0","3","0","0","0","0","1"
"LUAD","ZSCAN1","0","0","0","0","1","0","0","0"
"LUAD","ZSCAN18","0","0","0","0","1","0","0","0"
